Accession,Species,Notes,State,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of HPLC water to add,Normalized (Letter/# for rack for yes),Library made,Note,Old Qubit 1 ,Old Qubit 2,Collector,Collector number,Locality,County,State,Country,Latitude,Longitude,Source,GPS source,Verbatim latitude,Verbatim longitude
A1-1,Heuchera americana var. americana,,AL,,5.32,4.98,5.15,633.45,97.08737864,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,33.725,-85.600833,,,"33°43'30"" N","85°36'3"" W"
A1-2,Heuchera americana var. americana,,AL,Yes,5.34,5.5,5.42,666.66,Use whole sample,Vacuum centrifuge then add 25 uL,D,1/31/2020,,,,,,,,,,33.725,-85.600833,,,"33°43'30"" N","85°36'3"" W"
A1-2,Heuchera americana var. americana,,AL,,4.81,4.73,4.77,586.71,104.8218029,Vacuum centrifuge then add 25 uL,,duplicate,,,,,,,,,,33.725,-85.600833,,,"33°43'30"" N","85°36'3"" W"
A1-3,Heuchera americana var. americana,,AL,,3.75,3.61,3.68,452.64,Use whole sample,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,33.725,-85.600833,,,"33°43'30"" N","85°36'3"" W"
A1-4,Heuchera americana var. americana,,AL,,6.33,6.25,6.29,773.67,79.49125596,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,33.725,-85.600833,,,"33°43'30"" N","85°36'3"" W"
A10-1,Heuchera americana var. americana,,IN,,9.4,9.33,9.365,1151.895,53.39028297,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-2,Heuchera americana var. americana,,IN,,1.58,1.62,1.6,196.8,Use whole sample,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-3,Heuchera americana var. americana,,IN,,2.61,2.55,2.58,317.34,Use whole sample,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-4,Heuchera americana var. americana,,IN,,9.04,8.66,8.85,1088.55,56.49717514,Vacuum centrifuge then add 25 uL,x,,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-5,Heuchera americana var. americana,,IN,,3.85,3.74,3.795,466.785,Use whole sample,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-6,Heuchera americana var. americana,,IN,,13.2,13,13.1,1611.3,38.16793893,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-7,Heuchera americana var. americana,,IN,,5.29,5.78,5.535,680.805,90.33423668,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A10-8,Heuchera americana var. americana,,IN,,11,11.5,11.25,1383.75,44.44444444,Vacuum centrifuge then add 25 uL,A,2/1/20,,,,,,,,,,38.2152778,-85.906944,,,"38°12'55"" N","85°54'25"" W"
A11-1,Heuchera americana var. americana,,IN,,37.9,37.9,37.9,4661.7,13.19261214,11.80738786,B,2/11/20,,,,,,,,,,38.2591667,-86.461389,,,"38°15'33"" N","86°27'41"" W"
