Sample ID,Species,State,Project,Cleaned to 50𝜇l,Qubit reading 1 (ng/uL),Qubit reading 2 (ng/uL),Qubit average,DNA in tube (ng),"uL for 0.5 ug DNA (if over 1000 uL, use whole sample)",Amount of TE to add,Normalized (Letter for rack for yes),Library made,Note,Collector,Collector number,Locality,County,State,,Latitude,Longitude,Source,,,Verbatim latitude,Verbatim longitude
H100:2,Heuchera pubescens,VA,genus,,9.93,9.93,9.93,9930,50.35,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,100,"Floyd County, VA, USA",,,,36.8113889,-80.349722,,,,"36°48'41.00""N","80°20'59.00""W"
H101:2,Heuchera americana var. americana,VA,genus,,4.72,4.49,4.605,4605,108.58,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,Mile marker 92 on Blue Ridge Parkway.,Rockbridge,VA,,37.7852778,-78.727778,,,,"37°47'07""","-79°16'20"""
H101:3,Heuchera americana var. americana,VA,genus,,6.61,6.43,6.52,6520,76.69,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,Mile marker 92 on Blue Ridge Parkway.,Rockbridge,VA,,37.7852778,-78.727778,,,,"37°47'07""","-79°16'20"""
H102:1,Heuchera americana var. americana,VA,genus,,4.3,4.1,4.2,4200,119.05,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,"20-Minute Cliff, Blue Ridge Parkway.",Nelson,VA,,37.8975,-78.946389,,,,"37°53'51""","-79°03'13"""
H102:2,Heuchera americana var. americana,VA,genus,,9.8,9.41,9.605,9605,52.06,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,"20-Minute Cliff, Blue Ridge Parkway.",Nelson,VA,,37.8975,-78.946389,,,,"37°53'51""","-79°03'13"""
H103:2,Heuchera americana var. americana,VA,genus,,3.98,3.85,3.915,3915,127.71,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,103,Rock Point Overlook along Blue Ridge Parkway.,Augusta,VA,,37.9372222,-78.948333,,,,"37°56'14.00""N","78°56'54.00""W"
H104:1,Heuchera americana var. hispida,WV,genus,,6.23,6.12,6.175,6175,80.97,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,104,"Bank near Sandstone Falls, WV, USA",,,,37.7522222,-80.903611,,,,"37°45'08"" N","80°54'13"" W"
H105:1,Heuchera richardsonii,SD,genus,,14.5,14.5,14.5,14500,34.48,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,105,"Parking lot near Sylvan Lake, SD",,,,43.8438361,-102.43763,,,,"43°50'37.81""","-103°33'44.54"""
H114:1,Heuchera cylindrica var. glabella,MT,genus,,1.95,1.9,1.925,1925,259.74,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,"Igneous outcroppings along Recreation Rd, off of Hwy 15.",Lewis and Clark,MT,,46.9313889,-111.87833,,,,"46°55'53""","-112°07'18"""
H115:1,Heuchera cylindrica var. glabella,MT,genus,,2.75,2.68,2.715,2715,184.16,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,115,"Sun Canyon, turnoff along road.",Lewis and Clark,MT,,47.61,-111.26139,,,,"47°36'36""","-112°44'19"""
H119:1,Heuchera cylindrica var. glabella,MT,genus,,3.71,3.5,3.605,3605,138.70,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,Trai to Scenic Point on Mount Henry Trail.,Glacier,MT,,48.484933,-113.323603,,,,,
H122:1,Heuchera cylindrica var. cylindrica,WA,genus,,3.44,3.31,3.375,3375,148.15,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,122,"Sherman Pass, WA",,,,48.6072222,-117.52222,,,,"48°36'26""","-118°28'40"""
H123:1,Heuchera cylindrica var. cylindrica,WA,genus,,2.45,2.37,2.41,2410,207.47,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,48.6255556,-117.32556,,,,"48°37'32""","-118°40'28"""
H125:1,Heuchera cylindrica var. glabella,WA,genus,,--,--,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,2/5/2020,Input 10 uL,Folk,125,"Standup Creek, WA",,,,47.3688889,-119.16139,,,,"47°22'08""","-120°50'19"""
H132:1,Heuchera micrantha var. diversifolia,WA,genus,,1.79,1.75,1.77,1770,282.49,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,48.8175,-120.09139,,,,"48°49'03""","-121°54'31"""
H132:2,Heuchera micrantha var. diversifolia,WA,genus,,1.2,1.19,1.195,1195,418.41,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,48.8175,-120.09139,,,,"48°49'03""","-121°54'31"""
H133:2,Heuchera glabra x H. micrantha,WA,genus,,4.45,4.36,4.405,4405,113.51,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,133,"Alpine rock wall, side of Mt. Baker, WA, USA",,,,48.8180556,-121.90861,,,,"48°49'05"" N","121°54'31"" W"
H135:1,Heuchera glabra,WA,genus,,4.46,4.42,4.44,4440,112.61,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,48.8697222,-120.34056,,,,"48°52'11""","-121°39'34"""
H136:1,Heuchera micrantha var. micrantha,OR,genus,,24.6,24.1,24.35,24350,20.53,4.47,,2/5/2020,,,,,,,,45.5930556,-121.94194,,,,"45°35'35""","-122°03'29"""
H137:1,Heuchera glabra,OR,genus,,5.93,5.73,5.83,5830,85.76,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,137,"Cloud Cap near Mt. Hood, OR",,,,45.4025,-120.34556,,,,"45°24'09""","-121°39'16"""
H139:2,Heuchera grossulariifolia var. tenuifolia,OR,genus,,3.24,3.17,3.205,3205,156.01,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,139,"Bank near Mosier, OR",,,,45.6836111,-120.595,,,,"45°41'01""","-121°24'18"""
H142,Heuchera cylindrica var. alpina,OR,genus,,0.635,0.615,0.625,625,800.00,Vacuum centrifuge then add 25 uL,,2/5/2020,Input 4 uL,,,,,,,45.6877778,-120.40167,,,,"45°41'16""","-121°35'54"""
H143:1,Heuchera micrantha var. pacifica,OR,genus,,2.48,2.43,2.455,2455,203.67,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,43.0255556,-123.91861,,,,"43°01'32""","-124°04'53"""
H144:1,Heuchera micrantha var. hartwegii,OR,genus,,0.645,0.635,0.64,640,781.25,Vacuum centrifuge then add 25 uL,,2/5/2020,Input 4 uL,Folk,144,"Bank above roadside, Port Orford, OR",,,,42.7394444,-123.50083,,,,"42°44'22""","-124°29'57"""
H144:2,Heuchera micrantha var. hartwegii,OR,genus,,1.31,1.27,1.29,1290,387.60,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,144,"Bank above roadside, Port Orford, OR",,,,42.7394444,-123.50083,,,,"42°44'22""","-124°29'57"""
H149:1,Heuchera micrantha var. erubescens,OR,genus,,1.17,1.09,1.13,1130,442.48,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,42.6108333,-122.19472,,,,"42°36'39""","-123°48'19"""
H151:1,Heuchera cylindrica var. alpina,CA,genus,,1.03,1.02,1.025,1025,487.80,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,151,"Roadside north of Medicine Lake, Mono County, CA",,,,41.6761111,-120.44333,,,,"41°40'34""","-121°33'24"""
H151:2,Heuchera cylindrica var. alpina,CA,genus,,4.11,3.98,4.045,4045,123.61,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,151,"Roadside north of Medicine Lake, Mono County, CA",,,,41.6761111,-120.44333,,,,"41°40'34""","-121°33'24"""
H152:P,Heuchera cylindrica var. alpina,OR,genus,,3.42,3.43,3.425,3425,145.99,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,152,"Talus slope near Steens Mountain, OR",,,,42.6413889,-117.42028,,,,"42°38'29""","-118°34'47"""
H152:W,Heuchera cylindrica var. alpina,OR,genus,,3.08,2.99,3.035,3035,164.74,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,152,"Talus slope near Steens Mountain, OR",,,,42.6413889,-117.42028,,,,"42°38'29""","-118°34'47"""
H153:2,Heuchera rubescens var. truncata,OR,genus,,10.5,10.5,10.5,10500,47.62,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,153,"Pike Creek Canyon, near Steens Mountain, OR, USA",,,,42.579625,-118.54263,,,,"42°34'46.65"" N","118°32'33.48"" W"
H155:1,Heuchera grossulariifolia var. grossulariifolia,ID,genus,,5.24,5.22,5.23,5230,95.60,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,43.8991667,-114.29194,,,,"43°53'57""","-115°42'29"""
H157:1,Heuchera grossulariifolia var. grossulariifolia,ID,genus,,8.62,8.62,8.62,8620,58.00,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,44.1163889,-114.59194,,,,"44°06'59""","-115°24'29"""
H158:1,Heuchera grossulariifolia var. grossulariifolia,ID,genus,,4.95,4.83,4.89,4890,102.25,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,44.9588889,-115.79028,,,,"44°57'32""","-116°12'35"""
H162:1,Heuchera rubescens var. rubescens,ID,genus,,16.4,16.5,16.45,16450,30.40,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,42.0958333,-110.48194,,,,"42°05'45""","-111°31'05"""
H163,Heuchera bracteata,WY,genus,,3.55,3.47,3.51,3510,142.45,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,41.1927778,-104.60528,,,,"41°11'34""","-105°23'41"""
H165:2,Heuchera parvifolia,WY,genus,,8.72,8.67,8.695,8695,57.50,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,165,"Vedauwoo Glen road near Hwy 80, vicinity of campground, Medicine Bow National Forest, WY, USA",,,,41.1563889,-104.60944,,,,"41°09'23""","-105°23'26"""
H167:1,Heuchera richardsonii,IL,genus,,15.8,15.9,15.85,15850,31.55,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,41.3213889,-87.006389,,,,"41°19'17""","-88°59'37"""
H167:2,Heuchera richardsonii,IL,genus,,7.88,7.65,7.765,7765,64.39,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,41.3213889,-87.006389,,,,"41°19'17""","-88°59'37"""
H194:1,Heuchera villosa var. macrorhiza,KY,genus,,5.04,4.73,4.885,4885,102.35,Vacuum centrifuge then add 25 uL,,2/6/20,,,,,,,,37.85625,-83.67765,,,,,
H20:2,Heuchera pulchella,NM,genus,,2.42,2.31,2.365,2365,211.42,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,20,"Sandia Crest, NM, USA",,,,35.2110333,-106.45048,,,,35°12.662' N,106°27.029' W
H202:1,Heuchera longiflora var. longiflora,KY,genus,,11.5,11.4,11.45,11450,43.67,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,20,"Sandia Crest, NM, USA",,,,35.2110333,-106.45048,,,,35°12.662' N,106°27.029' W
H21:1,Heuchera pulchella,NM,genus,,4.15,4.1,4.125,4125,121.21,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.2209667,-106.45132,,,,35°13.258N,106°27.079
H21:2,Heuchera pulchella,NM,genus,,4.81,4.81,4.81,4810,103.95,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,35.2209667,-106.45132,,,,35°13.258N,106°27.079
H22:2,Heuchera wootonii,NM,genus,,0.322,0.308,0.315,315,Use whole sample,Vacuum centrifuge then add 25 uL,,2/5/2020,Input 10 uL,Folk,22,"Dry bank, Capitan Peak, NM, USA",,,,33.6125,-105.24583,  ,,,"33°36'45"" N","105°14'45"" W"
H23:2,Heuchera woodsiaphila,NM,genus,,1,1,1,1000,500.00,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,23,"Scree slope, Capitan Peak, NM, USA",,,,33.5962667,-105.25352,,,,33°35.776' N,105°15.211' W
H24:2,Heuchera novomexicana,NM,genus,,0.575,0.595,0.585,585,854.70,Vacuum centrifuge then add 25 uL,,2/5/2020,Input 4 uL,Folk,24,"Emory Pass Trail, NM, USA",,,,32.9242833,-107.77103,,,,32°55.457' N,107°46.262' W
H25:C,Heuchera novomexicana,NM,genus,,10.9,11,10.95,10950,45.66,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,32.93045,-107.77137,,,,32°55.827'N,107°46.282'W
H26:2,Heuchera rubescens var. versicolor,NM,genus,,7.51,7.4,7.455,7455,67.07,Vacuum centrifuge then add 25 uL,,2/5/2020,,Folk,26,"Outcrop above Hwy 159, NM, USA",,,,33.3705556,-108.69278,,,,33°22'14' N,"108°41'34"" W"
H27:1,Heuchera rubescens var. versicolor,NM,genus,,2.36,2.33,2.345,2345,213.22,Vacuum centrifuge then add 25 uL,,2/5/2020,,,,,,,,33.3716667,-107.33722,,,,"33°22'18""","-108°39'46"""
H27:2,Heuchera rubescens var. versicolor,NM,genus,,--,--,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,2/5/2020,Input 10 uL,,,,,,,33.3716667,-107.33722,,,,"33°22'18""","-108°39'46"""
