Population code,Species,Reidentification,Reidentifier,Notes,Collector + number,Provider identifier,Locality,Country,State,County,Latitude,Longitude,GPS source,,# individuals,Verbatim latitude,Verbatim longitude,Provider acronym,,Qubit 1,Qubit 2,Qubit average,Qubit 1 (Cleaned),Qubit 2 (Cleaned) ,Qubit average (Cleaneed,Cleaned to 50𝜇l,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of TE to add,Library made,Note
E1,Heuchera americana var. americana,,,,Bowers 13612,UNA00034487,"On slope. Cahaba river and marked gravel road. 1 mile west of County Hwy 10. NW 1/4 sec. 30, R 4 W, T 21, S.",,AL,Shelby,33.183991,-86.999559,SERNEC,,1,33.183991,-86.999559,UNA,,2.12,2.15,2.135,,,,,262.605,Use whole sample,Vacuum centrifuge then add 25 uL,,
E2,Heuchera americana var. americana,,,,Haynes 8967,UNA00014680,"Fl. green; uncommon at rock edge. St. Rt. 22 at Tallapoosa River, just E of Wadley",,AL,Randolph,33.11778,-85.56055,SERNEC,,1,33.11778,-85.56055,UNA,,6.52,6.56,6.54,,,,,804.42,76.45259939,Vacuum centrifuge then add 25 uL,,
E3,Heuchera americana var. americana,,,,Haynes 8979,UNA00014681,Abundant. Granite outcrop 3 mi. due WNW of Wadley along St. Rt. 77,,AL,Randolph,33.14417,-85.62417,SERNEC,,1,33.14417,-85.62417,UNA,,3.28,3.38,3.33,,,,,409.59,Use whole sample,Vacuum centrifuge then add 25 uL,,
E4,Heuchera americana var. americana,,,,Haynes 9026,UNA00014682,Mixed forest along hillside with stream draining into small pond; uncommon. Abandoned mine pits near Pyriton; ca. 6 mi due N of Ashland ,,AL,Clay,33.36194,-85.8325,SERNEC,,1,33.36194,-85.8325,UNA,,18.4,18.4,18.4,,,,,2263.2,27.17391304,Vacuum centrifuge then add 25 uL,,
E5,Heuchera americana var. americana,,,,Haynes 6115,UNA00014684,"Fl. green; uncommon in deep woods; deciduous woods with sandstone outcrops of cove draining into Thompson Creek, ca. 11 mi. due NE of Haleyville; William B. Bankhead National Forest",,AL,Lawrence,34.36889,-87.50139,SERNEC,,1,34.36889,-87.50139,UNA,,4.3,4.33,4.315,,,,,530.745,115.8748552,Vacuum centrifuge then add 25 uL,,
E6,Heuchera americana var. americana,,,,Deramus 362,UNA00014685,"University of Alabama Aboretum; infrequent herb on southeast portion of Arb. in hardwood, shaded, moist, loamy area",,AL,Tuscaloosa,33.18917,-87.47389,SERNEC,,1,33.18917,-87.47389,UNA,,6.54,6.57,6.555,,,,,806.265,76.27765065,Vacuum centrifuge then add 25 uL,,
E7,Heuchera americana var. americana,,,,French 072,UNA00014686,"Sougahatchee Creek at Lee County 11, 1.7 air miles NNE of junction County 11 and Ala. 14, Lee County, Alabama",,AL,Lee,32.5814796,-85.3077038,County centroid,,1,,,UNA,,4.19,4.14,4.165,,,,,512.295,120.0480192,Vacuum centrifuge then add 25 uL,,
E8,Heuchera americana var. americana,,,,Meigs 531,UNA00014687,"Common along Fagan's springs Creek, .4 mi E of Owens Dr. deadend. Oak-Hickory forest, Monte Sano Mt., Fagan's Hollow Huntsville, Ala. ",,AL,Madison,34.73722,-86.50445,SERNEC,,1,34.73722,-86.50445,UNA,,1.13,1.2,1.165,,,,,143.295,Use whole sample,Vacuum centrifuge then add 25 uL,,
E9,Heuchera americana var. americana,,,,Haynes 7757,UNA00014688,Granite outcrop ca. 9 mi. NW of Wadley along St. Rt. 77,,AL,Randolph,33.14417,-85.62417,SERNEC,,1,33.14417,-85.62417,UNA,,3.44,3.34,3.39,,,,,416.97,Use whole sample,Vacuum centrifuge then add 25 uL,,
E10,Heuchera americana var. americana,,,,Haynes 7118a,UNA00014689,"Four mile Pond, Fort McClellan Military Post; ca. 4 1/2 mi. due E of Anniston ",,AL,Calhoun,33.67195,-85.75083,SERNEC,,1,33.67195,-85.75083,UNA,,6.39,6.36,6.375,,,,,784.125,78.43137255,Vacuum centrifuge then add 25 uL,,
